WMO;Float S/N;PTT;Float;Last Tx;Last cycle;Battery;Launch Date;Cruise;Last Cycle Pmax;Surface float;Hydraulic;Last Cycle Grounded;Platform Maker;Firmware Version;Pr Version;Project Name;Float Owner;Pi Name;Deploy Platform;PR Experiment ID;N_LEVEL;Alert Status;Alert Error Flags;Alert Info Flags;Alert Warning Flags
5903835;5823;108678;APEX;2022-30-10 09:30:38;351;ok;2012-49-19 08:49:00;;;;-;0;WRC;122707;;US ARGO PROJECT;GREGORY C. JOHNSON;GREGORY C. JOHNSON;R/V Marcus Langseth;US ARGO PROJECT;;0;[];[];[]
5902501;8510;n/a;SOLO_II;2022-35-05 12:35:00;203;ok;2016-00-08 08:00:00;;;;-;0;SIO_IDG;"V02.20; SBE602 27Jul16";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5902392;8344;n/a;SOLO_II;2022-37-05 12:37:00;261;ok;2015-00-16 09:00:00;;;;-;0;SIO_IDG;"V02.00; SBE602 25Jun15";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5902390;8342;n/a;SOLO_II;2022-32-05 06:32:59;261;ok;2015-00-14 09:00:00;;;;-;0;SIO_IDG;"V02.00; SBE602 25Jun15";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5902391;8343;n/a;SOLO_II;2022-06-08 02:06:00;262;ok;2015-00-15 07:00:00;;;;-;0;SIO_IDG;"V02.00; SBE602 25Jun15";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5902385;8333;n/a;SOLO_II;2022-26-10 11:26:01;287;ok;2015-00-06 09:00:00;;;;-;0;SIO_IDG;"V02.00; SBE602 13Nov14";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Tangaroa;US ARGO PROJECT;;0;[];[];[]
5902352;8261;n/a;SOLO_II;2022-02-08 03:02:01;313;ok;2014-00-23 06:00:00;;;;-;2;SIO_IDG;"V02.00; SBE602 22Jul14";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;2;[FLAG_MissingVerticalProfile_LOGICAL];[];[]
5902355;8264;n/a;SOLO_II;2022-23-12 05:23:00;305;ok;2014-00-26 03:00:00;;;;-;0;SIO_IDG;"V02.00; SBE602 22Jul14";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5902340;8182;n/a;SOLO_II;2022-39-12 03:39:01;321;ok;2014-00-19 02:00:00;;;;-;0;SIO_IDG;"V02.00; SBE602 28Apr14";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Tangaroa;US ARGO PROJECT;;0;[];[];[]
5902349;8258;n/a;SOLO_II;2022-17-13 02:17:57;307;ok;2014-01-21 10:01:00;;;;-;0;SIO_IDG;"V02.00; SBE602 22Jul14";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5902387;8346;n/a;SOLO_II;2022-35-06 11:35:57;278;ok;2015-00-07 09:00:00;;;;-;0;SIO_IDG;"V02.00; SBE602 18Feb15";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Palmer;US ARGO PROJECT;;0;[];[];[]
5902376;8298;n/a;SOLO_II;2022-07-12 10:07:58;300;ok;2014-00-02 02:00:00;;;;-;0;SIO_IDG;"V02.00; SBE602 22Jul14";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5902363;8284;n/a;SOLO_II;2022-04-12 11:04:00;301;ok;2014-00-21 05:00:00;;;;-;0;SIO_IDG;"V02.00; SBE602 22Jul14";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5902367;8288;n/a;SOLO_II;2022-06-14 02:06:00;301;ok;2014-00-25 06:00:00;;;;-;0;SIO_IDG;"V02.00; SBE602 22Jul14";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5902368;8289;n/a;SOLO_II;2022-46-05 12:46:00;300;ok;2014-00-25 07:00:00;;;;-;2;SIO_IDG;"V02.00; SBE602 22Jul14";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;2;[FLAG_MissingVerticalProfile_LOGICAL];[];[]
5902358;8267;n/a;SOLO_II;2022-22-09 01:22:00;303;ok;2014-00-29 09:00:00;;;;-;0;SIO_IDG;"V02.00; SBE602 22Jul14";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5902406;8393;n/a;SOLO_II;2022-25-08 01:25:00;260;ok;2015-00-27 05:00:00;;;;-;2;SIO_IDG;"V02.00; SBE602 07Jul15";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;2;[FLAG_MissingVerticalProfile_LOGICAL];[];[]
5902397;8353;n/a;SOLO_II;2022-00-05 11:00:58;260;ok;2015-00-20 11:00:00;;;;-;2;SIO_IDG;"V02.00; SBE602 07Jul15";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;2;[FLAG_MissingVerticalProfile_LOGICAL];[];[]
5902471;8471;n/a;SOLO_II;2022-01-11 10:01:03;204;ok;2016-00-16 10:00:00;;;;-;0;SIO_IDG;"V02.20; SBE602 27Jul16";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5902477;8461;n/a;SOLO_II;2022-36-07 03:36:00;218;ok;2016-00-09 08:00:00;;;;-;0;SIO_IDG;"V02.10; SBE602 11May16";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5902475;8458;n/a;SOLO_II;2022-23-05 07:23:57;228;ok;2016-00-01 10:00:00;;;;-;2;SIO_IDG;"V02.10; SBE602 11May16";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;2;[FLAG_MissingVerticalProfile_LOGICAL];[];[]
5902476;8459;n/a;SOLO_II;2022-56-08 03:56:01;218;ok;2016-00-06 07:00:00;;;;-;0;SIO_IDG;"V02.10; SBE602 11May16";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5902490;8482;n/a;SOLO_II;2022-05-07 11:05:00;205;ok;2016-00-08 03:00:00;;;;-;0;SIO_IDG;"V02.20; SBE602 27Jul16";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5903555;4640;95252;APEX;2022-39-10 04:39:41;377;ok;2011-48-16 09:48:00;;;;-;0;WRC;122707;;US ARGO PROJECT;GREGORY C. JOHNSON;GREGORY C. JOHNSON;R/V SSV Seamans;US ARGO PROJECT;;0;[];[];[]
